product_id,name,category,price,stock_quantity
1,Organic Bananas,Groceries,0.99,500
2,Wireless Mouse,Electronics,25.50,120
3,Cotton T-Shirt (M),Apparel,15.00,200
4,Ceramic Coffee Mug,Home & Kitchen,8.99,75
5,AA Batteries (8pk),Electronics,12.49,300
6,Whole Milk (1L),Groceries,1.80,150
7,Yoga Mat,Sports,29.99,40
8,LED Desk Lamp,Home & Kitchen,34.00,60
9,Sourdough Bread,Groceries,4.50,30
10,Bluetooth Headphones,Electronics,89.00,55
11,Olive Oil (500ml),Groceries,12.00,90
12,Kitchen Spatula,Home & Kitchen,5.50,110
13,Running Shoes,Sports,75.00,25
14,Notebook (A5),Stationery,3.99,400
15,Ballpoint Pen (Blue),Stationery,0.50,1000
16,Laptop Stand,Electronics,45.00,15
17,Greek Yogurt,Groceries,1.25,80
18,Denim Jeans,Apparel,45.99,65
19,Cast Iron Skillet,Home & Kitchen,40.00,20
20,Dumbbell (5kg),Sports,15.00,50
21,HDMI Cable (2m),Electronics,10.99,150
22,Avocado (Single),Groceries,1.50,120
23,Winter Jacket,Apparel,85.00,30
24,Cutting Board,Home & Kitchen,19.50,45
25,Fountain Pen,Stationery,25.00,15
26,USB-C Hub,Electronics,35.00,40
27,Protein Powder (1kg),Sports,45.00,60
28,White Rice (1kg),Groceries,2.20,300
29,Bed Sheets (Queen),Home & Kitchen,55.00,25
30,Stapler,Stationery,6.50,85
31,Smartphone Case,Electronics,14.99,200
32,Cheddar Cheese,Groceries,5.40,95
33,Hoodie (Gray),Apparel,35.00,110
34,Non-Stick Frying Pan,Home & Kitchen,28.00,35
35,Tennis Racket,Sports,120.00,12
36,Paper Clips (100pk),Stationery,1.20,500
37,External Hard Drive (1TB),Electronics,59.99,45
38,Frozen Pizza,Groceries,6.99,60
39,Canvas Backpack,Apparel,42.00,50
40,Electric Kettle,Home & Kitchen,24.99,40
41,Water Bottle (Insulated),Sports,22.00,90
42,Sticky Notes,Stationery,2.50,300
43,Webcam (1080p),Electronics,49.00,25
44,Ground Coffee (250g),Groceries,8.50,140
45,Bath Towel,Home & Kitchen,12.00,150
46,Resistance Bands,Sports,18.00,70
47,Mechanical Pencil,Stationery,3.00,250
48,Power Bank (10000mAh),Electronics,29.00,80
49,Almond Milk,Groceries,3.20,110
50,Kitchen Scissors,Home & Kitchen,7.99,65
51,Baseball Cap,Apparel,19.00,120
52,Smart Bulb,Electronics,15.99,100
53,Pasta (500g),Groceries,1.10,400
54,Bath Mat,Home & Kitchen,14.50,40
55,Jump Rope,Sports,10.00,150
56,Highlighter (4pk),Stationery,4.50,180
57,Ethernet Cable (5m),Electronics,8.50,90
58,Peanut Butter,Groceries,4.00,130
59,Wall Clock,Home & Kitchen,22.00,25
60,Soccer Ball,Sports,25.00,55
61,Whiteboard Markers,Stationery,5.50,140
62,SD Card (64GB),Electronics,18.00,110
63,Honey (500g),Groceries,9.00,75
64,Measuring Cups,Home & Kitchen,12.50,50
65,Leather Belt,Apparel,30.00,80
66,Laptop Backpack,Apparel,55.00,45
67,Kettlebell (10kg),Sports,35.00,30
68,Desktop Calculator,Stationery,12.00,60
69,Microphone (USB),Electronics,65.00,20
70,Chicken Breast (1kg),Groceries,11.00,40
71,Oven Mitts,Home & Kitchen,9.00,100
72,Swimming Goggles,Sports,15.00,85
73,Desk Organizer,Stationery,18.00,50
74,Wireless Earbuds,Electronics,45.00,120
75,Black Tea (50 bags),Groceries,3.50,200
76,Mixing Bowls (Set),Home & Kitchen,24.00,35
77,Rain Umbrella,Apparel,15.00,70
78,Yoga Block,Sports,8.00,110
79,Legal Pad,Stationery,4.00,220
80,Tablet Stand,Electronics,19.99,60
81,Apples (1kg),Groceries,2.50,180
82,Toaster,Home & Kitchen,32.00,30
83,Running Shorts,Apparel,22.00,95
84,Bike Helmet,Sports,45.00,25
85,Eraser (3pk),Stationery,1.50,400
86,VGA Adapter,Electronics,12.00,40
87,Salmon Fillet,Groceries,18.00,25
88,Wine Glasses (4pk),Home & Kitchen,28.00,20
89,Socks (3pk),Apparel,12.00,300
90,Punching Bag,Sports,150.00,10
91,Ring Light,Electronics,35.00,55
92,Basmati Rice,Groceries,4.50,150
93,Storage Bins,Home & Kitchen,15.00,80
94,Clipboard,Stationery,3.50,120
95,Gaming Mouse Pad,Electronics,15.00,140
96,Tomato Sauce,Groceries,1.80,250
97,Shower Curtain,Home & Kitchen,20.00,45
98,Tracksuit Bottoms,Apparel,40.00,60
99,Camping Tent (2-person),Sports,85.00,15
100,Filing Cabinet,Stationery,120.00,8
101,Monitor (24 inch),Electronics,149.00,30
102,Eggs (12pk),Groceries,3.50,200
103,Broom and Dustpan,Home & Kitchen,15.99,60
104,Cargo Pants,Apparel,38.00,75
105,Sleeping Bag,Sports,50.00,20
106,Hole Punch,Stationery,8.00,45
107,Keychron Keyboard,Electronics,99.00,25
108,Strawberry Jam,Groceries,3.80,90
109,Dish Rack,Home & Kitchen,22.00,40
110,Fleece Blanket,Home & Kitchen,18.00,100
111,Basketball,Sports,28.00,65
112,Correction Tape,Stationery,2.50,200
113,Monitor Arm,Electronics,45.00,20
114,Quinoa (500g),Groceries,5.00,120
115,Velvet Hangers (20pk),Home & Kitchen,15.00,150
116,Wool Sweater,Apparel,55.00,40
117,Bicycle Pump,Sports,20.00,35
118,Pencil Sharpener,Stationery,1.50,300
119,Smart Plug,Electronics,12.99,110
120,Potato Chips,Groceries,2.50,250
121,Hand Soap,Home & Kitchen,3.00,300
122,Knit Hat,Apparel,14.00,90
123,Flashlight,Sports,15.00,80
124,Compass,Stationery,5.00,50
125,Graphics Tablet,Electronics,80.00,15
126,Canned Tuna,Groceries,1.50,400
127,Trash Can,Home & Kitchen,25.00,45
128,Leather Gloves,Apparel,28.00,60
129,Fishing Rod,Sports,65.00,20
130,Wall Calendar,Stationery,10.00,100
131,Wi-Fi Router,Electronics,85.00,25
132,Orange Juice,Groceries,3.00,180
133,Picture Frame,Home & Kitchen,12.00,110
134,Pajama Set,Apparel,25.00,85
135,Skateboard,Sports,55.00,18
136,Protractor,Stationery,1.00,200
137,Laptop Sleeve,Electronics,20.00,90
138,Dark Chocolate,Groceries,2.80,150
139,Candle Holder,Home & Kitchen,14.00,55
140,Formal Shirt,Apparel,45.00,70
141,Weight Bench,Sports,130.00,8
142,Push Pins (50pk),Stationery,2.00,400
143,USB Flash Drive (32GB),Electronics,9.00,250
144,Baking Soda,Groceries,1.20,180
145,Silverware Set,Home & Kitchen,45.00,30
146,Swimsuit,Apparel,35.00,50
147,Badminton Shuttles (6pk),Sports,12.00,100
148,Scissors,Stationery,4.50,150
149,Paper Shredder,Electronics,55.00,12
150,Maple Syrup,Groceries,10.00,60
151,Floor Lamp,Home & Kitchen,48.00,20
152,Duffel Bag,Apparel,40.00,45
153,Stopwatch,Sports,12.00,70
154,Sketchbook,Stationery,9.00,130
155,Bluetooth Speaker,Electronics,35.00,85
156,Granola Bars,Groceries,4.50,200
157,Air Fryer,Home & Kitchen,89.00,15
158,Sunglasses,Apparel,15.00,120
159,Ping Pong Paddles,Sports,20.00,40
160,Envelopes (50pk),Stationery,3.00,350
161,CPU Fan,Electronics,25.00,40
162,Sea Salt,Groceries,2.00,220
163,Coffee Grinder,Home & Kitchen,35.00,25
164,Silk Scarf,Apparel,22.00,60
165,Hiking Boots,Sports,95.00,30
166,Magnifying Glass,Stationery,6.00,40
167,External DVD Drive,Electronics,29.00,15
168,Walnuts (200g),Groceries,5.50,100
169,Storage Rack,Home & Kitchen,60.00,10
170,Polo Shirt,Apparel,28.00,85
171,Ski Goggles,Sports,55.00,20
172,Index Cards,Stationery,2.50,300
173,Uninterruptible Power Supply,Electronics,120.00,8
174,Mustard,Groceries,2.20,180
175,Ice Cube Tray,Home & Kitchen,4.00,150
176,Windbreaker,Apparel,50.00,40
177,Agility Ladder,Sports,22.00,30
178,Calculator Battery,Stationery,3.00,100
179,Wireless Doorbell,Electronics,25.00,50
180,Coconut Water,Groceries,2.50,140
181,Mop and Bucket,Home & Kitchen,28.00,35
182,Cardigan,Apparel,42.00,55
183,Snorkel Mask,Sports,30.00,45
184,Art Markers (12pk),Stationery,15.00,80
185,Soldering Iron,Electronics,20.00,30
186,Mayonnaise,Groceries,3.50,160
187,Wall Mirror,Home & Kitchen,40.00,15
188,Belt Bag,Apparel,25.00,90
189,Hand Grip Strengthener,Sports,8.00,120
190,Glue Stick (3pk),Stationery,2.50,250
191,Laptop Cooling Pad,Electronics,22.00,45
192,Soy Sauce,Groceries,2.99,130
193,Plant Pot,Home & Kitchen,12.00,80
194,Beanie,Apparel,12.00,110
195,Foam Roller,Sports,25.00,40
196,Label Maker,Stationery,35.00,20
197,Desktop Fan (USB),Electronics,15.00,60
198,Popcorn Kernels,Groceries,1.50,200
199,Curtain Rod,Home & Kitchen,25.00,30
200,Work Boots,Apparel,110.00,25